1981-20120705-haq/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
1981-20120705-haq/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
1981-20120705-rjp/wav/ru_0040,лицо его в эту минуту казалось утомлённым лоб сморщился,L 0 I C O 0 J I G O 0 V E 0 T U M 0 I N U 0 T U K A Z A 0 L A S 0 U T A M L 0 O 0 N Y M L O 0 P S M O 0 R 0 S H 0 I L S 0 A
1981-20120705-rjp/wav/ru_0041,через тысячу лет мой окоченелый труп влетит в её огненные океаны,C H I R 0 I S T Y 0 S 0 I C H U L 0 E 0 T M O 0 J A K A C H I N 0 E 0 L Y J T R U 0 P V L 0 I T 0 I 0 T V J I J O 0 G N 0 I N Y J I A K 0 I A 0 N Y
1981-20120705-rjp/wav/ru_0042,ведь ад и есть моё безнадёжное одиночество распростёртое в вечной тьме,V 0 E 0 T 0 A 0 T Y J E 0 S 0 T 0 M A J O 0 B 0 I Z N A D 0 O 0 Z H N A J I A D 0 I N O 0 C H I S T V A R A S P R A S 0 T 0 O 0 R T A J I V V 0 E 0 C H N A J T 0 M 0 E 0
1981-20120705-rjp/wav/ru_0043,лось вкратце рассказал ему об условиях перелёта предупредил о возможном риске,L O 0 S 0 F K R A 0 C Y R A S K A Z A 0 L J I M U 0 A B U S L O 0 V 0 I J I H P 0 I R 0 I L 0 O 0 T A P R 0 I D U P R 0 I D 0 I 0 L A V A Z M O 0 Z H N A M R 0 I 0 S K 0 I
1981-20120705-rjp/wav/ru_0044,предложил обеспечить семью и выдать жалованье вперёд деньгами и продуктами,P R 0 I D L A Z H Y 0 L A B 0 I S P 0 E 0 C H I T 0 S 0 I M 0 J U 0 I V Y 0 D A D Z H A 0 L A V A N 0 J I F 0 P 0 I R 0 O 0 D D 0 E 0 N 0 G A M 0 I P R A D U 0 K T A M 0 I
1981-20120705-rjp/wav/ru_0045,сначала думали что это следы бурь в магнитных полях земли,S N A C H A 0 L A D U 0 M A L 0 I S H T O E 0 T A S 0 L 0 I D Y 0 B U 0 R 0 V M A G N 0 I 0 T N Y H P A L 0 A 0 H Z 0 I M L 0 I 0
1981-20120705-rjp/wav/ru_0046,одни и те же семена оседают на марс и на землю на все мириады остывающих звёзд,A D 0 N 0 I 0 I T 0 E 0 Z H Y S 0 I M 0 I N A 0 A S 0 I D A 0 J U T N A M A 0 R S Y N A Z 0 E 0 M L 0 U N A F S 0 E 0 M 0 I R 0 I A 0 D Y A S T Y V A 0 J U S H 0 I H Z V 0 O 0 Z T
1981-20120705-rjp/wav/ru_0049,обоз отобьём и к вечеру мы вёрст уж за восемьдесят,A B O 0 S A T A B 0 J O 0 M Y K V 0 E 0 C H I R U M Y 0 V 0 O 0 R S T U 0 Z H Z A V O 0 S 0 I M 0 D 0 I S 0 I T
1981-20120705-rjp/wav/ru_0050,надоело мало толку да уж и мужикам махновщина эта стала надоедать,N A D A J E 0 L A M A 0 L A T O 0 L K U D A 0 U 0 S H Y M U Z H Y K A 0 M A H N O 0 F S H 0 I N A E 0 T A S T A 0 L A N A D A J I D A 0 T 0
1981-20120705-rjp/wav/ru_0051,в деревню ехать отец с матерью померли братья убиты земля заброшена,V D 0 I R 0 E 0 V N 0 U J E 0 H A T 0 A T 0 E 0 C S M A 0 T 0 I R 0 J U P O 0 M 0 I R L 0 I B R A 0 T 0 J A U B 0 I 0 T Y Z 0 I M L 0 A 0 Z A B R O 0 S H Y N A
1981-20120706-azq/wav/ru_0030,быть может от этого именно удара погиб материк лежавший на запад от африки в атлантическом океане,B Y 0 T 0 M O 0 Z H Y T A T E 0 T A V A I M 0 I N O 0 U D A 0 R A P A G 0 I 0 P M A T 0 I R 0 I 0 K L 0 I Z H A 0 F S H Y J N A Z A 0 P A T A T A 0 F R 0 I K 0 I V A T L A N 0 T 0 I 0 C H I S K A M A K 0 I A 0 N 0 I
1981-20120706-azq/wav/ru_0031,поэтому я кладу на весь перелёт в безвоздушном пространстве шесть семь часов,P A E 0 T A M U J A 0 K L A D U 0 N A V 0 E 0 S 0 P 0 I R 0 I L 0 O 0 T V B 0 I Z V A Z D U 0 S H N A M P R A S T R A 0 N S T V 0 I S H E 0 S 0 T 0 S 0 E 0 M 0 C H I S O 0 F
1981-20120706-azq/wav/ru_0032,через несколько лет путешествие на марс будет не более сложно чем перелёт из москвы в берлин,C H I R 0 I Z N 0 E 0 S K A L 0 K A L 0 E 0 T P U T 0 I S H E 0 S T V 0 I J I N A M A 0 R Z B U 0 D 0 I T N 0 I B O 0 L 0 I J I S L O 0 Z H N A C H E 0 M P 0 I R 0 I L 0 O 0 T Y Z M A S K V Y 0 V B 0 I R L 0 I 0 N
1981-20120706-azq/wav/ru_0033,на глаз скайльс определил что яйцеобразный аппарат был не менее восьми с половиной метров высоты и шести метров в поперечнике,N A G L A 0 S K A 0 J L 0 S A P R 0 I D 0 I L 0 I 0 L S H T O J I J C Y A B R A 0 Z N Y J A P A R A 0 D B Y 0 L N 0 I M 0 E 0 N 0 I J I V A S 0 M 0 I 0 S P A L A V 0 I 0 N A J M 0 E 0 T R A V Y S A T Y 0 I S H Y S 0 T 0 I 0 M 0 E 0 T R A V F P A P 0 I R 0 E 0 C H N 0 I K 0 I
1981-20120706-azq/wav/ru_0034,его окружала двойная массивной стали круглая спираль свёрнутая в противоположные стороны буфер,J I G O 0 A K R U Z H A 0 L A D V A J N A 0 J A M A S 0 I 0 V N A J S T A 0 L 0 I K R U 0 G L A J A S P 0 I R A 0 L 0 S V 0 O 0 R N U T A J A F P R A T 0 I V A P A L O 0 Z H N Y J I S T O 0 R A N Y B U 0 F 0 I R
1981-20120706-azq/wav/ru_0035,аппарат был построен из мягкой и тугоплавкой стали внутри хорошо укреплён рёбрами и лёгкими фермами,A P A R A 0 D B Y 0 L P A S T R O 0 J I N Y Z M 0 A 0 H K A J I T U G A P L A 0 F K A J S T A 0 L 0 I V N U T R 0 I 0 H A R A S H O 0 U K R 0 I P L 0 O 0 N R 0 O 0 B R A M 0 I L 0 O 0 H 0 K 0 I M 0 I F 0 E 0 R M A M 0 I
1981-20120706-azq/wav/ru_0036,внутри этого второго кожаного стёганого яйца находились аппараты наблюдения и движения кислородные баки ящики для поглощения углекислоты полые подушки для инструментов и провизии,V N U T R 0 I 0 E 0 T A V A F T A R O 0 V A K O 0 Z H A N A V A S 0 T 0 O 0 G A N A V A J I J C A 0 N A H A D 0 I 0 L 0 I S 0 A P A R A 0 T Y N A B L 0 U D 0 E 0 N 0 I J A I D V 0 I Z H E 0 N 0 I J A K 0 I S L A R O 0 D N Y J I B A 0 K 0 I J A 0 S H 0 I K 0 I D 0 L 0 A P A G L A S H 0 E 0 N 0 I J A U G L 0 I K 0 I S L A T Y 0 P O 0 L Y J I P A D U 0 S H K 0 I D 0 L 0 A I N S T R U M 0 E 0 N T A V Y P R A V 0 I 0 Z 0 I
1981-20120706-azq/wav/ru_0037,таков в общих чертах был принцип движущего механизма это была ракета,T A K O 0 V O 0 P S H 0 I H C H I R T A 0 H B Y 0 L P R 0 I 0 N C Y B D V 0 I 0 Z H U S H 0 I V A M 0 I H A N 0 I 0 Z M A E 0 T A B Y L A 0 R A K 0 E 0 T A
1981-20120706-azq/wav/ru_0038,аванс шесть фельетонов по двести строк чек можете учесть в стокгольме,A V A 0 N S S H E 0 S 0 T 0 F 0 I L 0 J I T O 0 N A F P A D V 0 E 0 S 0 T 0 I S T R O 0 K C H E 0 K M O 0 Z H Y T 0 I U C H E 0 S 0 T 0 F S T A G O 0 L 0 M 0 I
1981-20120706-azq/wav/ru_0039,что у этой барышни было в голове не пойму до сих пор,S H T O U E 0 T A J B A 0 R Y S H N 0 I B Y 0 L A V G A L A V 0 E 0 N 0 I P A J M U 0 D A S 0 I 0 H P O 0 R
1981-20120706-hpa/wav/ru_0012,развернул план петербурга и водя по нему концом трубки отыскал ждановскую набережную,R A Z V 0 I R N U 0 L P L A 0 N P 0 I T 0 I R B U 0 R G A I V A D 0 A 0 P A N 0 I M U 0 K A N C O 0 M T R U 0 P K 0 I A T Y S K A 0 L Z H D A 0 N A F S K U J U N A 0 B 0 I R 0 I Z H N U J U
1981-20120706-hpa/wav/ru_0013,небольшая дверца в нём была приотворена на пороге сидел на корточках рабочий и размешивал в ведёрке кирпично-красный сурик,N 0 I B A L 0 S H A 0 J A D V 0 E 0 R C A V N 0 O 0 M B Y L A 0 P R 0 I A T V O 0 R 0 I N A N A P A R O 0 G 0 I S 0 I D 0 E 0 L N A K O 0 R T A C H K A H R A B O 0 C H I J I R A Z M 0 E 0 S H Y V A L V V 0 I D 0 O 0 R K 0 I K 0 I R P 0 I 0 C H N A K R A 0 S N Y J S U 0 R 0 I K
1981-20120706-hpa/wav/ru_0014,на вопрос скайльса здесь ли можно видеть инженера лося рабочий кивнул во внутрь сарая,N A V A P R O 0 S K A 0 J L 0 S A Z 0 D 0 E 0 S 0 L 0 I M O 0 Z H N A V 0 I 0 D 0 I T 0 I N Z H Y N 0 E 0 R A L O 0 S 0 A R A B O 0 C H I J K 0 I V N U 0 L V A V N U 0 T R 0 S A R A 0 J A
1981-20120706-hpa/wav/ru_0015,сарай едва был освещён над столом заваленном чертежами и книгами горела электрическая лампочка в жестяном конусе,S A R A 0 J I D V A 0 B Y 0 L A S V 0 I S H 0 O 0 N A T S T A L O 0 M Z A V A 0 L 0 I N A M C H I R T 0 I Z H A 0 M 0 I K N 0 I 0 G A M 0 I G A R 0 E 0 L A I L 0 I K T R 0 I 0 C H I S K A J A L A 0 M P A C H K A V Z H Y S 0 T 0 I N O 0 M K O 0 N U S 0 I
1981-20120706-hpa/wav/ru_0016,сквозь балки лесов поблёскивала металлическая с частой клёпкой поверхность сферического тела,S K V O 0 Z 0 B A 0 L K 0 I L 0 I S O 0 F P A B L 0 O 0 S K 0 I V A L A M 0 I T A L 0 I 0 C H I S K A J A S C H A 0 S T A J K L 0 O 0 P K A J P A V 0 E 0 R H N A S 0 T 0 S F 0 I R 0 I 0 C H I S K A V A T 0 E 0 L A
1981-20120706-hpa/wav/ru_0017,сквозь раскрытые половинки ворот были видны багровые полосы заката и клубы туч поднявшихся с моря,S K V O 0 S 0 R A S K R Y 0 T Y J I P A L A V 0 I 0 N K 0 I V A R O 0 D B Y 0 L 0 I V 0 I 0 D N Y B A G R O 0 V Y J I P O 0 L A S Y Z A K A 0 T A I K L U 0 B Y T U 0 C H P A D 0 N 0 A 0 F S H Y H S 0 A S M O 0 R 0 A
1981-20120706-hpa/wav/ru_0018,учился на медные деньги с двенадцати лет сам их зарабатываю,U C H I 0 L S 0 A N A M 0 E 0 D N Y J I D 0 E 0 N 0 G 0 I Z D V 0 I N A 0 C A T 0 I L 0 E 0 T S A 0 M Y 0 H Z A R A B A 0 T Y V A J U
1981-20120706-hpa/wav/ru_0022,над этой машиной он ткнул трубкой в сторону лесов работаю давно,N A D E 0 T A J M A S H Y 0 N A J O 0 N T K N U 0 L T R U 0 P K A J F S T O 0 R A N U L 0 I S O 0 V R A B O 0 T A J U D A V N O 0
1981-20120706-hpa/wav/ru_0024,в междузвёздном пространстве носятся осколки планет нерождённых или погибших миров,V M 0 I Z H D U Z V 0 O 0 Z N A M P R A S T R A 0 N S T V 0 I N O 0 S 0 I C A S K O 0 L K 0 I P L A N 0 E 0 T N 0 I R A Z H D 0 O 0 N Y H Y L 0 I P A G 0 I 0 P S H Y H M 0 I R O 0 F
1981-20120706-hpa/wav/ru_0025,между зубами у них была трава они паслись там где теперь льды,M 0 E 0 Z H D U Z U B A 0 M 0 I U N 0 I 0 H B Y L A 0 T R A V A 0 A N 0 I 0 P A S 0 L 0 I 0 S 0 T A 0 M G D 0 E 0 T 0 I P 0 E 0 R 0 L 0 D Y 0
1981-20120706-kwo/wav/ru_0068,недолго ждать когда пошатнётся даже разум единственные цепи на этом чудовище,N 0 I D O 0 L G A Z H D A 0 T 0 K A G D A 0 P A S H A T 0 N 0 O 0 C A D A 0 Z H Y R A 0 Z U M J I D 0 I 0 N S T V 0 I N Y J I C E 0 P 0 I N A E 0 T A M C H U D O 0 V 0 I S H 0 I
1981-20120706-kwo/wav/ru_0069,в молчании теперь тысячи людей глядели на квадратные освещённые окна сарая,V M A L C H A 0 N 0 I T 0 I P 0 E 0 R 0 T Y 0 S 0 I C H I L 0 U D 0 E 0 J G L 0 I D 0 E 0 L 0 I N A K V A D R A 0 T N Y J I A S V 0 I S H 0 O 0 N Y J I O 0 K N A S A R A 0 J A
1981-20120706-kwo/wav/ru_0070,электричество было потушено и бледный свет проникал сквозь стёкла глазков,I L 0 I K T R 0 I 0 C H I S T V A B Y 0 L A P A T U 0 S H Y N A I B L 0 E 0 D N Y J S V 0 E 0 T P R A N 0 I K A 0 L S K V O 0 S 0 T 0 O 0 K L A G L A S K O 0 F
1981-20120706-kwo/wav/ru_0071,лось чувствовал сердце бьётся чаще чаще уже не бьётся трепещет мучительно,L O 0 S 0 C H U 0 F S T V A V A L S 0 E 0 R C Y B 0 J O 0 C A C H A 0 S H 0 I C H A 0 S H 0 I U 0 Z H Y N 0 I B 0 J O 0 C A T R 0 I P 0 E 0 S H 0 I T M U C H I 0 T 0 I L 0 N A
1981-20120706-kwo/wav/ru_0073,в один из глазков входил прямой ослепительный луч солнца,V A D 0 I 0 N Y Z G L A S K O 0 V F H A D 0 I 0 L P R 0 I M O 0 J A S 0 L 0 I P 0 I 0 T 0 I L 0 N Y J L U 0 C H S O 0 N C A
1981-20120706-kwo/wav/ru_0074,лось с трудом оторвался от этого зрелища живоносного огня вселенной,L O 0 S 0 S T R U D O 0 M A T A R V A 0 L S 0 A T E 0 T A V A Z R 0 E 0 L 0 I S H 0 A Z H Y V A N O 0 S N A V A G N 0 A 0 F S 0 I L 0 E 0 N A J
1981-20120706-kwo/wav/ru_0075,теперь уже ясно можно было видеть резкие длинные тени от скал они тянулись через оголённую ледяную равнину,T 0 I P 0 E 0 R 0 U 0 Z H Y J A 0 S N A M O 0 Z H N A B Y 0 L A V 0 I 0 D 0 I T 0 R 0 E 0 S K 0 I J I D 0 L 0 I 0 N Y J I T 0 E 0 N 0 I A T S K A 0 L A N 0 I 0 T 0 I N U 0 L 0 I S 0 C H I R 0 I Z A G A L 0 O 0 N U J U L 0 I D 0 I N U 0 J U R A V N 0 I 0 N U
1981-20120706-kwo/wav/ru_0076,несколько линий точек и полукружий разбросано к западу и востоку от этой экваториальной группы,N 0 E 0 S K A L 0 K A L 0 I 0 N 0 I J T O 0 C H I K Y P A L U K R U 0 Z H Y J R A Z B R O 0 S A N A G Z A 0 P A D U I V A S T O 0 K U A T E 0 T A J I K V A T A R 0 I A 0 L 0 N A J G R U 0 P Y
1981-20120706-kwo/wav/ru_0077,лось жадно вглядывался в эту сеть линий вот они сводящие с ума астрономов постоянно меняющиеся геометрически правильные непостигаемые каналы марса,L O 0 Z Z H A 0 D N A V G L 0 A 0 D Y V A L S 0 A V E 0 T U S 0 E 0 T 0 L 0 I 0 N 0 I J V O 0 T A N 0 I 0 S V A D 0 A 0 S H 0 I J I S U M A 0 A S T R A N O 0 M A F P A S T A J A 0 N A M 0 I N 0 A 0 J U S H 0 I J I S 0 A G 0 I A M 0 I T R 0 I 0 C H I S K 0 I P R A 0 V 0 I L 0 N Y J I N 0 I P A S 0 T 0 I G A 0 J I M Y J I K A N A 0 L Y M A 0 R S A
1981-20120706-kwo/wav/ru_0078,лось кинулся к реостатам попали алексей иванович притягиваемся падаем,L O 0 S 0 K 0 I 0 N U L S 0 A K R 0 I A S T A 0 T A M P A P A 0 L 0 I A L 0 I K S 0 E 0 J I V A 0 N A V 0 I C H P R 0 I T 0 A 0 G 0 I V A J I M S 0 A P A 0 D A J I M
1981-20120706-rxa/wav/ru_0003,со спокойным мужеством скайлс ожидал всего в этом безумном городе,S A S P A K O 0 J N Y M U 0 Z H Y S T V A M S K A 0 J L S A Z H Y D A 0 L F S 0 I G O 0 V E 0 T A M B 0 I Z U 0 M N A M G O 0 R A D 0 I
1981-20120706-rxa/wav/ru_0004,окна многоэтажных домов иные разбитые иные заколоченные досками казались нежилыми ни одна голова не выглядывала на улицу,O 0 K N A M N A G A I T A 0 Z H N Y H D A M O 0 V Y N Y 0 J I R A Z B 0 I 0 T Y J I N Y 0 J I Z A K A L O 0 C H I N Y J I D O 0 S K A M 0 I K A Z A 0 L 0 I S 0 N 0 I Z H Y L Y 0 M 0 I N 0 I A D N A 0 G A L A V A 0 N 0 I V Y G L 0 A 0 D Y V A L A N A U 0 L 0 I C U
1981-20120706-rxa/wav/ru_0005,в это время перед объявлением остановился рослый широкоплечий человек без шапки по одежде солдат в рубахе без пояса в обмотках,V E 0 T A V R 0 E 0 M 0 A P 0 E 0 R 0 I T A B J I V L 0 E 0 N 0 I J I M A S T A N A V 0 I 0 L S 0 A R O 0 S L Y J S H Y R A K A P L 0 E 0 C H I J C H I L A V 0 E 0 G B 0 I S S H A 0 P K 0 I P A D 0 E 0 Z H D 0 I S A L D A 0 T V R U B A 0 H 0 I B 0 I S P O 0 J I S A V A B M O 0 T K A H
1981-20120706-rxa/wav/ru_0006,глаза ленивые серо-карие и так же как у той женщины с искоркой,G L A Z A 0 L 0 I N 0 I 0 V Y J I S 0 E 0 R A K A 0 R 0 I J I T A 0 G Z H Y K A 0 K U T O 0 J Z H E 0 N S H 0 I N Y S Y 0 S K A R K A J
1981-20120706-rxa/wav/ru_0008,скайльс тоже теперь прищурясь оглянул солдата вспыхнул гневно и пошёл по направлению к неве шагал уверенно и широко,S K A 0 J L 0 S T O 0 Z H Y T 0 I P 0 E 0 R 0 P R 0 I S H 0 U 0 R 0 I S 0 A G L 0 I N U 0 L S A L D A 0 T A F S P Y 0 H N U L G N 0 E 0 V N A I P A S H O 0 L P A N A P R A V L 0 E 0 N 0 I J U K N 0 I V 0 E 0 S H A G A 0 L U V 0 E 0 R 0 I N A I S H Y 0 R A K A
1981-20120706-rxa/wav/ru_0009,на куче песку один во всём сквере видимо уже давно сидел маленький мальчик в грязной рубашке горошком и без штанов,N A K U 0 C H I P 0 I S K U 0 A D 0 I 0 N V A F S 0 O 0 M S K V 0 E 0 R 0 I V 0 I 0 D 0 I M A U 0 Z H Y D A V N O 0 S 0 I D 0 E 0 L M A 0 L 0 I N 0 K 0 I J M A 0 L 0 C H I K V G R 0 A 0 Z N A J R U B A 0 S H K 0 I G A R O 0 S H K A M Y B 0 I S S H T A N O 0 F
1981-20120706-rxa/wav/ru_0010,в руке он держал конец верёвочки к другому концу верёвочки была привязана за ногу старая взлохмаченная ворона,V R U K 0 E 0 O 0 N 0 D 0 I R Z H A 0 L K A N 0 E 0 C V 0 I R 0 O 0 V A C H K 0 I G D R U G O 0 M U K A N C U 0 V 0 I R 0 O 0 V A C H K 0 I B Y L A 0 P R 0 I V 0 A 0 Z A N A Z A 0 N A G U S T A 0 R A J A V Z L A H M A 0 C H I N A J A V A R O 0 N A
1981-20120706-rxa/wav/ru_0011,мальчик ворона пустые дома пустынные улицы странные взгляды прохожих и приколоченное гвоздиками объявление кто-то зовёт лететь из этого города в звёздную пустыню,M A 0 L 0 C H I K V O 0 R A N A P U S T Y 0 J I D A M A 0 P U S T Y 0 N Y J I U 0 L 0 I C Y S T R A 0 N Y J I V Z G L 0 A 0 D Y P R A H O 0 Z H Y H Y P R 0 I K A L O 0 C H I N A J I G V A Z 0 D 0 I 0 K A M 0 I A B J I V L 0 E 0 N 0 I J I K T O 0 T A Z A V 0 O 0 T L 0 I T 0 E 0 T 0 I Z E 0 T A V A G O 0 R A D A V Z V 0 O 0 Z N U J U P U S T Y 0 N 0 U
1981-20120706-rxa/wav/ru_0012,развернул план петербурга и водя по нему концом трубки отыскал ждановскую набережную,R A Z V 0 I R N U 0 L P L A 0 N P 0 I T 0 I R B U 0 R G A I V A D 0 A 0 P A N 0 I M U 0 K A N C O 0 M T R U 0 P K 0 I A T Y S K A 0 L Z H D A 0 N A F S K U J U N A 0 B 0 I R 0 I Z H N U J U
1981-20120706-rxa/wav/ru_0013,небольшая дверца в нём была приотворена на пороге сидел на корточках рабочий и размешивал в ведёрке кирпично-красный сурик,N 0 I B A L 0 S H A 0 J A D V 0 E 0 R C A V N 0 O 0 M B Y L A 0 P R 0 I A T V O 0 R 0 I N A N A P A R O 0 G 0 I S 0 I D 0 E 0 L N A K O 0 R T A C H K A H R A B O 0 C H I J I R A Z M 0 E 0 S H Y V A L V V 0 I D 0 O 0 R K 0 I K 0 I R P 0 I 0 C H N A K R A 0 S N Y J S U 0 R 0 I K
1981-20120706-rya/wav/ru_0003,со спокойным мужеством скайлс ожидал всего в этом безумном городе,S A S P A K O 0 J N Y M U 0 Z H Y S T V A M S K A 0 J L S A Z H Y D A 0 L F S 0 I G O 0 V E 0 T A M B 0 I Z U 0 M N A M G O 0 R A D 0 I
